省级行政区	行政中心	经度 (E)	纬度 (N)	备注
北京市	北京市	116.4074	39.9042	直辖市
天津市	天津市	117.1902	39.1256	直辖市
上海市	上海市	121.4802	31.2363	直辖市
重庆市	重庆市	106.5044	29.5582	直辖市
河北省	石家庄市	114.5149	38.0423	
山西省	太原市	112.5624	37.8735	
内蒙古自治区	呼和浩特市	111.7510	40.8424	
辽宁省	沈阳市	123.4315	41.8057	
吉林省	长春市	125.3235	43.8171	
黑龙江省	哈尔滨市	126.5358	45.8023	
江苏省	南京市	118.7674	32.0415	
浙江省	杭州市	120.1551	30.2741	
安徽省	合肥市	117.2272	31.8206	
福建省	福州市	119.2965	26.0745	
江西省	南昌市	115.8579	28.6820	
山东省	济南市	117.0009	36.6758	
河南省	郑州市	113.6254	34.7466	
湖北省	武汉市	114.3054	30.5931	
湖南省	长沙市	112.9388	28.2282	
广东省	广州市	113.2644	23.1292	
广西壮族自治区	南宁市	108.3200	22.8240	
海南省	海口市	110.1999	20.0440	
四川省	成都市	104.0668	30.5728	
贵州省	贵阳市	106.6302	26.6477	
云南省	昆明市	102.7123	25.0406	
西藏自治区	拉萨市	91.1409	29.6564	
陕西省	西安市	108.9402	34.3416	
甘肃省	兰州市	103.8233	36.0580	
青海省	西宁市	101.7802	36.6209	
宁夏回族自治区	银川市	106.2325	38.4864	
新疆维吾尔自治区	乌鲁木齐市	87.6168	43.8256	
香港特别行政区	香港	114.1694	22.3193	特别行政区
澳门特别行政区	澳门	113.5431	22.1987	特别行政区
台湾省	台北市	121.5200	25.0300	数据暂缺，此为台北市约值
